week_workout,exercise,exercise_url,warm_up_sets,sets,reps,load,rpe,percent_one_rep_max,rest,sub_1,sub_1_url,sub_2,sub_2_url,notes
Week 1,Exercise,Link,Warm-up Sets,Working Sets,Reps,Load,RPE,%1RM,Rest,Sub 1,Sub 1 Link,Sub 2,Sub Link 2,Notes
"Full Body 1: Squat, OHP",Back squat,www.youtube.com/watch?v=bEv6CCg2BC8&t,4,1,5,,7.5,75-80%,3-4 min,,,,,Focus on technique and explosive power!
,Back squat,,0,2,8,,N/A,70%,3-4 min,,,,,Keep back angle and form consistent across all reps
,Overhead press,www.youtube.com/watch?v=_RlRDWO2jfg,2,3,8,,N/A,70%,2-3 min,,,,,Reset each rep (don't touch-and-press)
,Glute Ham Raise,youtu.be/psdbgvbdd_M,1,3,8-10,,7,N/A,1-2 min,,,,,"Keep your hips straight, do nordic ham curls if no GHR machine"
,Helms row,youtu.be/axoeDmW0oAY?t=419,1,3,12-15,,9,N/A,1-2 min,,,,,Strict form. Drive elbows out and back at 45 degree angle
,Hammer curl,youtu.be/Kd3tbUnbueU,0,3,20-25,,10,N/A,1-2 min,,,,,"Keep elbows locked in place, squeeze the dumbbell handle hard!"
"Full Body 2: Deadlift, Bench Press",Deadlift,www.youtube.com/watch?v=VL5Ab0T07e4&,4,3,4,,N/A,80%,3-5 min,,,,,Conventional or sumo: use whatever stance you are stronger with
,Barbell bench press,www.youtube.com/watch?v=vcBig73ojpE,4,1,3,,8.5,82.5-87.5%,4-5 min,,,,,Top set. Leave 1 (maybe 2) reps in the tank. Hard set.
,Barbell bench press,,0,2,10,,N/A,67.5%,2-3 min,,,,,Quick 1 second pause on the chest on each rep
,Hip abduction,youtu.be/zfUWbpdjczg,0,3,15-20,,9,N/A,1-2 min,,,,,"Machine, band or weighted, 1 second isometric hold at the top of each rep"
,Weighted pull-up,www.youtube.com/watch?v=Hdc7Mw6BIEE,1,3,5-8,,8,N/A,3-4 min,,,,,"1.5x shoulder width grip, pull your chest to the bar"
,Standing calf raise,www.youtube.com/watch?v=-qsRtp_PbVM,1,3,8-10,,9,N/A,2-3 min,,,,,"1-2 second pause at the bottom of each rep, full ROM"
SUGGESTED REST DAY,,,,,,,,,,,,,,
"Full Body 3: Squat, Dip",Back squat,,4,3,4,,N/A,80%,3-4 min,,,,,Maintain tight pressure in your upper back against the bar 
,Weighted dip,www.youtube.com/watch?v=yN6Q1UI_xkE&,2,3,8,,8,N/A,2-3 min,,,,,Do dumbbell floor press if no access to dip handles
